"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"1","102357","Action_2","Morph_3","BB","Groom","Bigloudscratch","BigLoudScratch.1","Sonso",1.28093384546206,0.0215364120781528,0.0577264653641208
"2","102357","Action_2","Morph_4","BB","Groom","Bigloudscratch","BigLoudScratch.2","Sonso",1.11185751541813,0.019316163410302,0.0577264653641208
"3","100466a","Action_20","Morph_50","BB","Play","Hitother","HitOther.6","Sonso",-1.02165124753198,0.00488454706927176,0.0404085257548845
"4","100468","Action_45","Morph_101","BB","Play","Reach","Reach.2","Sonso",0.542324290825362,0.0370781527531083,0.0801509769094138
"5","100468","Action_15","Morph_35","BB","Play","Grabhold","GrabHold.1","Sonso",1.56024766824333,0.00932504440497336,0.0204262877442274
"6","100466a","Action_14","Morph_29","BB","Play","Grab","Grab.1","Sonso",0.444685821261446,0.00821492007104796,0.0353019538188277
"7","100466a","Action_14","Morph_29","BB","Play","Grab","Grab.1","Sonso",0.494696241836107,0.00821492007104796,0.0353019538188277
"8","101408","Action_2","Morph_3","BB","Groom","Bigloudscratch","BigLoudScratch.1","Sonso",0.985816794522765,0.0215364120781528,0.0577264653641208
"9","101304b","Action_2","Morph_4","BB","Groom","Bigloudscratch","BigLoudScratch.2","Sonso",0.336472236621213,0.019316163410302,0.0577264653641208
"10","102434","Action_38","Morph_79","BB","Directattention","Present","Present.5","Sonso",1.35583515363518,0.00688277087033748,0.0492895204262877
"11","100551","Action_45","Morph_100","BB","Affiliation","Reach","Reach.1","Sonso",0.246860077931526,0.0408525754884547,0.0801509769094138
"12","102272","Action_2","Morph_4","BH","Travel","Bigloudscratch","BigLoudScratch.2","Sonso",0.732367893713227,0.019316163410302,0.0577264653641208
"13","100804","Action_15","Morph_35","BH","Climbonme","Grabhold","GrabHold.1","Sonso",1.52605630349505,0.00932504440497336,0.0204262877442274
"14","102348","Action_23","Morph_47","BH","Playcontinue","Hittingother","HitOther.3","Sonso",0.89199803930511,0.00843694493783304,0.0157637655417407
